No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
1,F1 All,Analog,462.57500,462.57500,High,25KHz,Family SL,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,Local 1,CL1 RXG,1,Slot 1,0,None,1,0,0,0,KC9MHE Eric,D023N,D023N,None,Carrier/CTC,None,OFF,0,0
2,F2 Team A,Analog,462.60000,462.60000,High,25KHz,None,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,D023N,D023N,None,Carrier/CTC,None,OFF,0,0
3,F3 Team B,Analog,462.62500,462.62500,High,25KHz,Family SL,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,D023N,D023N,None,Carrier/CTC,None,OFF,0,0
4,F4 Team C,Analog,462.65000,462.65000,High,25KHz,None,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,D023N,D023N,None,Carrier/CTC,None,OFF,0,0
5,F5 Road,Analog,462.67500,462.67500,High,25KHz,Family SL,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,141.3,141.3,None,Carrier/CTC,None,OFF,0,0
6,F6 RPTR,Analog,462.55000,467.55000,High,25KHz,Family SL,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,D023N,D023N,None,Carrier/CTC,None,OFF,0,0
7,F8 Evnstn 725,Analog,462.72500,467.75000,High,25KHz,Family SL,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,100.0,100.0,None,Carrier/CTC,None,OFF,0,0
8,F9 PrkRdg 675,Analog,462.67500,467.67500,High,25KHz,Family SL,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,141.3,141.3,None,Carrier/CTC,None,OFF,0,0
9,F10 Evnst 700,Analog,462.70000,462.70000,High,25KHz,Family SL,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,107.2,107.2,None,Carrier/CTC,None,OFF,0,0
10,F11 Nrthbrk ,Analog,462.65000,460.65000,High,25KHz,Family SL,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Local 1,None,0,Slot 1,0,None,1,0,0,0,KC9MHE Eric,107.2,107.2,None,Carrier/CTC,None,OFF,0,0
